workerid,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.3,Answer.2,Answer.1,Answer.0,Answer.7,Answer.6,Answer.5,Answer.4,Answer.9,Answer.8,Answer.comments,Answer.age,Answer.duration,Answer.cond,Answer.language
0,230KMN9U8P9YJ0T3C5931UYIPG0UDM,2AI9RA7S5WM1M1YZ4NY0SMHLANAZUC,Prices,How much do you think different kinds of household items cost?,experiment stanford fun prices psychology cognitive science linguistics university,$0.40,Wed Dec 04 05:01:54 PST 2013,40,1,1,38,Assignable,NotReviewed,1 cond,12000,99999,Tue Dec 24 05:01:54 PST 2013,https://requester.mturk.com/mturk/manageHIT?HITId=230KMN9U8P9YJ0T3C5931UYIPG0UDM,2Z9IT3HVWAVKYY2UZYT1G2Z9L0VME5,0,Approved,Thu Dec 05 08:51:38 PST 2013,Wed Dec 04 05:02:45 PST 2013,Wed Dec 04 05:04:59 PST 2013,Wed Dec 04 07:33:43 PST 2013,,,,,"{""buyer"":""Danielle"",""item"":""watch"",""stepLength"":60,""max"":500,""lowers"":[0,60,120,180,240,300,360,420,480,500],""uppers"":[60,120,180,240,300,360,420,480,540,""infty""],""responses"":[0.32,0.67,0.84,0.98,0.83,0.64,0.34,0.34,0.37,0.29]}","{""buyer"":""Caitlyn"",""item"":""coffee maker"",""stepLength"":40,""max"":400,""lowers"":[0,40,80,120,160,200,240,280,320,400],""uppers"":[40,80,120,160,200,240,280,320,360,""infty""],""responses"":[0.8,0.91,0.99,0.67,0.36,0.06,0.02,0.02,0.02,0.02]}","{""buyer"":""Beth"",""item"":""sweater"",""stepLength"":40,""max"":400,""lowers"":[0,40,80,120,160,200,240,280,320,400],""uppers"":[40,80,120,160,200,240,280,320,360,""infty""],""responses"":[1,0.66,0.57,0.25,0,0,0,0,0.01,0.01]}","{""buyer"":""Emma"",""item"":""laptop"",""stepLength"":560,""max"":5000,""lowers"":[0,560,1120,1680,2240,2800,3360,3920,4480,5000],""uppers"":[560,1120,1680,2240,2800,3360,3920,4480,5040,""infty""],""responses"":[1,0.61,0.32,0,0,0,0,0,0,0]}","{""response"":""250"",""item"":""coffee maker""}","{""response"":""300"",""item"":""sweater""}","{""response"":""2000"",""item"":""laptop""}","{""buyer"":""Ann"",""item"":""headphones"",""stepLength"":30,""max"":300,""lowers"":[0,30,60,90,120,150,180,210,240,300],""uppers"":[30,60,90,120,150,180,210,240,270,""infty""],""responses"":[0.71,0.8,0.86,0.83,0.85,0.82,0.84,0.85,0.82,0.5]}","{""response"":""1000"",""item"":""headphones""}","{""response"":""10000"",""item"":""watch""}","""""","""28""",130452,"""girls""","""english"""
1,230KMN9U8P9YJ0T3C5931UYIPG0UDM,2AI9RA7S5WM1M1YZ4NY0SMHLANAZUC,Prices,How much do you think different kinds of household items cost?,experiment stanford fun prices psychology cognitive science linguistics university,$0.40,Wed Dec 04 05:01:54 PST 2013,40,1,1,38,Assignable,NotReviewed,1 cond,12000,99999,Tue Dec 24 05:01:54 PST 2013,https://requester.mturk.com/mturk/manageHIT?HITId=230KMN9U8P9YJ0T3C5931UYIPG0UDM,2W6C1PC6SK9RZ05VFQQEQMAA1W21PX,1,Approved,Thu Dec 05 08:52:28 PST 2013,Wed Dec 04 05:03:08 PST 2013,Wed Dec 04 05:05:49 PST 2013,Wed Dec 04 07:33:45 PST 2013,,,,,"{""buyer"":""Emma"",""item"":""watch"",""stepLength"":60,""max"":500,""lowers"":[0,60,120,180,240,300,360,420,480,500],""uppers"":[60,120,180,240,300,360,420,480,540,""infty""],""responses"":[0.88,0.89,0.83,0.55,0.32,0.3,0.28,0.17,0.11,0.04]}","{""buyer"":""Calvin"",""item"":""laptop"",""stepLength"":560,""max"":5000,""lowers"":[0,560,1120,1680,2240,2800,3360,3920,4480,5000],""uppers"":[560,1120,1680,2240,2800,3360,3920,4480,5040,""infty""],""responses"":[0.83,0.85,0.58,0.37,0.01,0.01,0.04,0.01,0.01,0.03]}","{""buyer"":""Beth"",""item"":""coffee maker"",""stepLength"":40,""max"":400,""lowers"":[0,40,80,120,160,200,240,280,320,400],""uppers"":[40,80,120,160,200,240,280,320,360,""infty""],""responses"":[0.82,0.7,0.65,0.3,0.25,0,0.02,0.03,0.01,0.01]}","{""buyer"":""Alan"",""item"":""sweater"",""stepLength"":40,""max"":400,""lowers"":[0,40,80,120,160,200,240,280,320,400],""uppers"":[40,80,120,160,200,240,280,320,360,""infty""],""responses"":[0.9,0.57,0.02,0,0,0,0.01,0.01,0.01,0.02]}","{""response"":""1500"",""item"":""laptop""}","{""response"":""250"",""item"":""coffee maker""}","{""response"":""150"",""item"":""sweater""}","{""buyer"":""Danielle"",""item"":""headphones"",""stepLength"":30,""max"":300,""lowers"":[0,30,60,90,120,150,180,210,240,300],""uppers"":[30,60,90,120,150,180,210,240,270,""infty""],""responses"":[0.98,0.77,0.65,0.67,0.41,0,0,0.03,0.01,0.04]}","{""response"":""250"",""item"":""headphones""}","{""response"":""15000"",""item"":""watch""}","""""","""33""",153760,"""both""","""english"""
2,230KMN9U8P9YJ0T3C5931UYIPG0UDM,2AI9RA7S5WM1M1YZ4NY0SMHLANAZUC,Prices,How much do you think different kinds of household items cost?,experiment stanford fun prices psychology cognitive science linguistics university,$0.40,Wed Dec 04 05:01:54 PST 2013,40,1,1,38,Assignable,NotReviewed,1 cond,12000,99999,Tue Dec 24 05:01:54 PST 2013,https://requester.mturk.com/mturk/manageHIT?HITId=230KMN9U8P9YJ0T3C5931UYIPG0UDM,2VQ58B727M0IW7KOT9XYOSVFG5VWB5,2,Approved,Thu Dec 05 08:52:53 PST 2013,Wed Dec 04 05:02:50 PST 2013,Wed Dec 04 05:06:14 PST 2013,Wed Dec 04 07:33:45 PST 2013,,,,,"{""buyer"":""Evan"",""item"":""headphones"",""stepLength"":30,""max"":300,""lowers"":[0,30,60,90,120,150,180,210,240,300],""uppers"":[30,60,90,120,150,180,210,240,270,""infty""],""responses"":[0.84,0.56,0.43,0.39,0.38,0.36,0.33,0.3,0.28,0.23]}","{""buyer"":""Calvin"",""item"":""watch"",""stepLength"":60,""max"":500,""lowers"":[0,60,120,180,240,300,360,420,480,500],""uppers"":[60,120,180,240,300,360,420,480,540,""infty""],""responses"":[0.57,0.65,0.7,0.72,0.7,0.61,0.49,0.38,0.34,0.32]}","{""buyer"":""Dan"",""item"":""laptop"",""stepLength"":560,""max"":5000,""lowers"":[0,560,1120,1680,2240,2800,3360,3920,4480,5000],""uppers"":[560,1120,1680,2240,2800,3360,3920,4480,5040,""infty""],""responses"":[0.6,0.58,0.46,0.41,0.36,0.27,0.21,0.06,0.04,0]}","{""buyer"":""Alan"",""item"":""coffee maker"",""stepLength"":40,""max"":400,""lowers"":[0,40,80,120,160,200,240,280,320,400],""uppers"":[40,80,120,160,200,240,280,320,360,""infty""],""responses"":[0.93,0.67,0.59,0.43,0.31,0.3,0.24,0.14,0.13,0.06]}","{""response"":""2000"",""item"":""watch""}","{""response"":""2200"",""item"":""laptop""}","{""response"":""350"",""item"":""coffee maker""}","{""buyer"":""Bob"",""item"":""sweater"",""stepLength"":40,""max"":400,""lowers"":[0,40,80,120,160,200,240,280,320,400],""uppers"":[40,80,120,160,200,240,280,320,360,""infty""],""responses"":[0.74,0.51,0.46,0.24,0.18,0.12,0.1,0.07,0.05,0]}","{""response"":""180"",""item"":""sweater""}","{""response"":""400"",""item"":""headphones""}","""""","""""",199969,"""boys""","""English"""
3,230KMN9U8P9YJ0T3C5931UYIPG0UDM,2AI9RA7S5WM1M1YZ4NY0SMHLANAZUC,Prices,How much do you think different kinds of household items cost?,experiment stanford fun prices psychology cognitive science linguistics university,$0.40,Wed Dec 04 05:01:54 PST 2013,40,1,1,38,Assignable,NotReviewed,1 cond,12000,99999,Tue Dec 24 05:01:54 PST 2013,https://requester.mturk.com/mturk/manageHIT?HITId=230KMN9U8P9YJ0T3C5931UYIPG0UDM,21DFQ0ONNVRHHCHVPM7RK76N7JYLUI,3,Approved,Thu Dec 05 08:55:55 PST 2013,Wed Dec 04 05:05:51 PST 2013,Wed Dec 04 05:09:16 PST 2013,Wed Dec 04 07:33:43 PST 2013,,,,,"{""buyer"":""Bob"",""item"":""sweater"",""stepLength"":40,""max"":400,""lowers"":[0,40,80,120,160,200,240,280,320,400],""uppers"":[40,80,120,160,200,240,280,320,360,""infty""],""responses"":[0.94,0.94,0.8,0.65,0.5,0.36,0.24,0.19,0.09,0.08]}","{""buyer"":""Dan"",""item"":""headphones"",""stepLength"":30,""max"":300,""lowers"":[0,30,60,90,120,150,180,210,240,300],""uppers"":[30,60,90,120,150,180,210,240,270,""infty""],""responses"":[0.85,0.95,0.92,0.81,0.67,0.5,0.44,0.35,0.26,0.14]}","{""buyer"":""Alan"",""item"":""coffee maker"",""stepLength"":40,""max"":400,""lowers"":[0,40,80,120,160,200,240,280,320,400],""uppers"":[40,80,120,160,200,240,280,320,360,""infty""],""responses"":[1,0.83,0.67,0.56,0.5,0.5,0.38,0.26,0.17,0.12]}","{""buyer"":""Calvin"",""item"":""laptop"",""stepLength"":560,""max"":5000,""lowers"":[0,560,1120,1680,2240,2800,3360,3920,4480,5000],""uppers"":[560,1120,1680,2240,2800,3360,3920,4480,5040,""infty""],""responses"":[0.92,0.83,0.71,0.56,0.46,0.3,0.15,0,0,0]}","{""response"":""250"",""item"":""headphones""}","{""response"":""200"",""item"":""coffee maker""}","{""response"":""2500"",""item"":""laptop""}","{""buyer"":""Evan"",""item"":""watch"",""stepLength"":60,""max"":500,""lowers"":[0,60,120,180,240,300,360,420,480,500],""uppers"":[60,120,180,240,300,360,420,480,540,""infty""],""responses"":[0.68,0.91,0.91,0.82,0.62,0.54,0.48,0.33,0.25,0.12]}","{""response"":""400"",""item"":""watch""}","{""response"":""200"",""item"":""sweater""}","""""","""21""",203494,"""boys""","""English"""
4,230KMN9U8P9YJ0T3C5931UYIPG0UDM,2AI9RA7S5WM1M1YZ4NY0SMHLANAZUC,Prices,How much do you think different kinds of household items cost?,experiment stanford fun prices psychology cognitive science linguistics university,$0.40,Wed Dec 04 05:01:54 PST 2013,40,1,1,38,Assignable,NotReviewed,1 cond,12000,99999,Tue Dec 24 05:01:54 PST 2013,https://requester.mturk.com/mturk/manageHIT?HITId=230KMN9U8P9YJ0T3C5931UYIPG0UDM,20I7Q67051QKSFR8I1HCAXMGUA9EYN,4,Approved,Thu Dec 05 08:57:35 PST 2013,Wed Dec 04 05:07:00 PST 2013,Wed Dec 04 05:10:56 PST 2013,Wed Dec 04 07:33:43 PST 2013,,,,,"{""buyer"":""Bob"",""item"":""coffee maker"",""stepLength"":40,""max"":400,""lowers"":[0,40,80,120,160,200,240,280,320,400],""uppers"":[40,80,120,160,200,240,280,320,360,""infty""],""responses"":[1,0.8,0.58,0.51,0.3,0,0,0,0,0]}","{""buyer"":""Dan"",""item"":""sweater"",""stepLength"":40,""max"":400,""lowers"":[0,40,80,120,160,200,240,280,320,400],""uppers"":[40,80,120,160,200,240,280,320,360,""infty""],""responses"":[1,0.63,0.54,0.19,0,0,0,0,0,0]}","{""buyer"":""Alan"",""item"":""watch"",""stepLength"":60,""max"":500,""lowers"":[0,60,120,180,240,300,360,420,480,500],""uppers"":[60,120,180,240,300,360,420,480,540,""infty""],""responses"":[1,0.77,0.53,0.28,0,0,0,0,0,0.02]}","{""buyer"":""Danielle"",""item"":""laptop"",""stepLength"":560,""max"":5000,""lowers"":[0,560,1120,1680,2240,2800,3360,3920,4480,5000],""uppers"":[560,1120,1680,2240,2800,3360,3920,4480,5040,""infty""],""responses"":[1,0.74,0.52,0.21,0,0,0,0,0,0]}","{""response"":""100"",""item"":""sweater""}","{""response"":""200"",""item"":""watch""}","{""response"":""1700"",""item"":""laptop""}","{""buyer"":""Calvin"",""item"":""headphones"",""stepLength"":30,""max"":300,""lowers"":[0,30,60,90,120,150,180,210,240,300],""uppers"":[30,60,90,120,150,180,210,240,270,""infty""],""responses"":[0.72,0.92,0.72,0.33,0.24,0.16,0,0,0,0]}","{""response"":""180"",""item"":""headphones""}","{""response"":""179"",""item"":""coffee maker""}","""This+is+my+worker+ID%2C+I+dont+see+an+area+for+a+code+on+the+mturk+screen+so+i&quotecharm+including+my+code+below.+ATMWE36VY2BPG""","""26""",215337,"""both""","""english"""
5,230KMN9U8P9YJ0T3C5931UYIPG0UDM,2AI9RA7S5WM1M1YZ4NY0SMHLANAZUC,Prices,How much do you think different kinds of household items cost?,experiment stanford fun prices psychology cognitive science linguistics university,$0.40,Wed Dec 04 05:01:54 PST 2013,40,1,1,38,Assignable,NotReviewed,1 cond,12000,99999,Tue Dec 24 05:01:54 PST 2013,https://requester.mturk.com/mturk/manageHIT?HITId=230KMN9U8P9YJ0T3C5931UYIPG0UDM,28M98JHSTLB31SFIZH9OKJEJ3O8RFF,5,Approved,Thu Dec 05 08:57:41 PST 2013,Wed Dec 04 05:08:36 PST 2013,Wed Dec 04 05:11:02 PST 2013,Wed Dec 04 07:33:43 PST 2013,,,,,"{""buyer"":""Beth"",""item"":""sweater"",""stepLength"":40,""max"":400,""lowers"":[0,40,80,120,160,200,240,280,320,400],""uppers"":[40,80,120,160,200,240,280,320,360,""infty""],""responses"":[0.98,0.9,0.84,0.41,0.11,0.02,0.01,0.01,0.02,0.01]}","{""buyer"":""Caitlyn"",""item"":""headphones"",""stepLength"":30,""max"":300,""lowers"":[0,30,60,90,120,150,180,210,240,300],""uppers"":[30,60,90,120,150,180,210,240,270,""infty""],""responses"":[0.7,0.7,0.82,0.81,0.69,0.07,0.01,0.02,0.01,0.03]}","{""buyer"":""Emma"",""item"":""coffee maker"",""stepLength"":40,""max"":400,""lowers"":[0,40,80,120,160,200,240,280,320,400],""uppers"":[40,80,120,160,200,240,280,320,360,""infty""],""responses"":[0.68,0.81,0.95,0.81,0.38,0.18,0.07,0,0,0]}","{""buyer"":""Ann"",""item"":""watch"",""stepLength"":60,""max"":500,""lowers"":[0,60,120,180,240,300,360,420,480,500],""uppers"":[60,120,180,240,300,360,420,480,540,""infty""],""responses"":[0.34,0.71,0.7,0.7,0.15,0.08,0.06,0.04,0,0]}","{""response"":""400"",""item"":""headphones""}","{""response"":""600"",""item"":""coffee maker""}","{""response"":""5000"",""item"":""watch""}","{""buyer"":""Danielle"",""item"":""laptop"",""stepLength"":560,""max"":5000,""lowers"":[0,560,1120,1680,2240,2800,3360,3920,4480,5000],""uppers"":[560,1120,1680,2240,2800,3360,3920,4480,5040,""infty""],""responses"":[0.19,0.35,0.85,0.63,0,0,0,0,0,0]}","{""response"":""3500"",""item"":""laptop""}","{""response"":""650"",""item"":""sweater""}","""""","""26""",144731,"""girls""","""English"""
6,230KMN9U8P9YJ0T3C5931UYIPG0UDM,2AI9RA7S5WM1M1YZ4NY0SMHLANAZUC,Prices,How much do you think different kinds of household items cost?,experiment stanford fun prices psychology cognitive science linguistics university,$0.40,Wed Dec 04 05:01:54 PST 2013,40,1,1,38,Assignable,NotReviewed,1 cond,12000,99999,Tue Dec 24 05:01:54 PST 2013,https://requester.mturk.com/mturk/manageHIT?HITId=230KMN9U8P9YJ0T3C5931UYIPG0UDM,2Z0PJWKUDD8X233XJHQ0K6UT0G6ALV,6,Approved,Thu Dec 05 08:58:42 PST 2013,Wed Dec 04 05:07:03 PST 2013,Wed Dec 04 05:12:03 PST 2013,Wed Dec 04 07:33:44 PST 2013,,,,,"{""buyer"":""Danielle"",""item"":""sweater"",""stepLength"":40,""max"":400,""lowers"":[0,40,80,120,160,200,240,280,320,400],""uppers"":[40,80,120,160,200,240,280,320,360,""infty""],""responses"":[0.92,0.98,0.8,0.6,0.42,0.3,0.12,0,0,0]}","{""buyer"":""Beth"",""item"":""laptop"",""stepLength"":560,""max"":5000,""lowers"":[0,560,1120,1680,2240,2800,3360,3920,4480,5000],""uppers"":[560,1120,1680,2240,2800,3360,3920,4480,5040,""infty""],""responses"":[0.66,0.97,0.75,0.5,0.39,0.18,0.1,0.02,0,0]}","{""buyer"":""Emma"",""item"":""watch"",""stepLength"":60,""max"":500,""lowers"":[0,60,120,180,240,300,360,420,480,500],""uppers"":[60,120,180,240,300,360,420,480,540,""infty""],""responses"":[0.59,0.79,0.94,0.77,0.55,0.31,0.2,0.11,0.04,0.03]}","{""buyer"":""Caitlyn"",""item"":""coffee maker"",""stepLength"":40,""max"":400,""lowers"":[0,40,80,120,160,200,240,280,320,400],""uppers"":[40,80,120,160,200,240,280,320,360,""infty""],""responses"":[0.98,0.73,0.55,0.39,0.2,0.11,0.01,0,0,0.02]}","{""response"":""3250"",""item"":""laptop""}","{""response"":""1400"",""item"":""watch""}","{""response"":""650"",""item"":""coffee maker""}","{""buyer"":""Ann"",""item"":""headphones"",""stepLength"":30,""max"":300,""lowers"":[0,30,60,90,120,150,180,210,240,300],""uppers"":[30,60,90,120,150,180,210,240,270,""infty""],""responses"":[0.9,1,0.75,0.56,0.33,0.13,0.06,0.01,0,0]}","{""response"":""220"",""item"":""headphones""}","{""response"":""550"",""item"":""sweater""}","""""","""42""",298529,"""girls""","""English"""
7,230KMN9U8P9YJ0T3C5931UYIPG0UDM,2AI9RA7S5WM1M1YZ4NY0SMHLANAZUC,Prices,How much do you think different kinds of household items cost?,experiment stanford fun prices psychology cognitive science linguistics university,$0.40,Wed Dec 04 05:01:54 PST 2013,40,1,1,38,Assignable,NotReviewed,1 cond,12000,99999,Tue Dec 24 05:01:54 PST 2013,https://requester.mturk.com/mturk/manageHIT?HITId=230KMN9U8P9YJ0T3C5931UYIPG0UDM,2VCH1Q6SVQ8HO0MXAEC5XBVCUB4M3D,7,Approved,Thu Dec 05 09:00:58 PST 2013,Wed Dec 04 05:11:30 PST 2013,Wed Dec 04 05:14:19 PST 2013,Wed Dec 04 07:33:45 PST 2013,,,,,"{""buyer"":""Ann"",""item"":""sweater"",""stepLength"":40,""max"":400,""lowers"":[0,40,80,120,160,200,240,280,320,400],""uppers"":[40,80,120,160,200,240,280,320,360,""infty""],""responses"":[0.88,0.76,0.65,0.45,0.35,0.34,0.27,0.29,0.28,0.27]}","{""buyer"":""Beth"",""item"":""watch"",""stepLength"":60,""max"":500,""lowers"":[0,60,120,180,240,300,360,420,480,500],""uppers"":[60,120,180,240,300,360,420,480,540,""infty""],""responses"":[0.73,0.74,0.74,0.72,0.74,0.5,0.5,0.5,0.5,0.89]}","{""buyer"":""Calvin"",""item"":""headphones"",""stepLength"":30,""max"":300,""lowers"":[0,30,60,90,120,150,180,210,240,300],""uppers"":[30,60,90,120,150,180,210,240,270,""infty""],""responses"":[0.75,0.76,0.97,0.75,0.73,0.7,0.71,0.5,0.5,0.5]}","{""buyer"":""Bob"",""item"":""coffee maker"",""stepLength"":40,""max"":400,""lowers"":[0,40,80,120,160,200,240,280,320,400],""uppers"":[40,80,120,160,200,240,280,320,360,""infty""],""responses"":[0.75,0.77,0.5,0.03,0.04,0.01,0.03,0.03,0.02,0.03]}","{""response"":""500000"",""item"":""watch""}","{""response"":""650"",""item"":""headphones""}","{""response"":""450"",""item"":""coffee maker""}","{""buyer"":""Dan"",""item"":""laptop"",""stepLength"":560,""max"":5000,""lowers"":[0,560,1120,1680,2240,2800,3360,3920,4480,5000],""uppers"":[560,1120,1680,2240,2800,3360,3920,4480,5040,""infty""],""responses"":[0.03,0.92,0.75,0.05,0.04,0.04,0.05,0.04,0.04,0.03]}","{""response"":""3400"",""item"":""laptop""}","{""response"":""799"",""item"":""sweater""}","""""","""23""",167308,"""both""","""english"""
8,230KMN9U8P9YJ0T3C5931UYIPG0UDM,2AI9RA7S5WM1M1YZ4NY0SMHLANAZUC,Prices,How much do you think different kinds of household items cost?,experiment stanford fun prices psychology cognitive science linguistics university,$0.40,Wed Dec 04 05:01:54 PST 2013,40,1,1,38,Assignable,NotReviewed,1 cond,12000,99999,Tue Dec 24 05:01:54 PST 2013,https://requester.mturk.com/mturk/manageHIT?HITId=230KMN9U8P9YJ0T3C5931UYIPG0UDM,2ZV6XBAT2D5N6QNCVBH0SG5TAW151F,8,Approved,Thu Dec 05 09:01:14 PST 2013,Wed Dec 04 05:11:41 PST 2013,Wed Dec 04 05:14:35 PST 2013,Wed Dec 04 07:33:44 PST 2013,,,,,"{""buyer"":""Beth"",""item"":""watch"",""stepLength"":60,""max"":500,""lowers"":[0,60,120,180,240,300,360,420,480,500],""uppers"":[60,120,180,240,300,360,420,480,540,""infty""],""responses"":[0.43,0.61,0.64,0.65,0.83,0.81,0.84,0.64,0.4,0.24]}","{""buyer"":""Danielle"",""item"":""headphones"",""stepLength"":30,""max"":300,""lowers"":[0,30,60,90,120,150,180,210,240,300],""uppers"":[30,60,90,120,150,180,210,240,270,""infty""],""responses"":[1,0.95,0.9,0.73,0.6,0.46,0.3,0.27,0.19,0.02]}","{""buyer"":""Emma"",""item"":""sweater"",""stepLength"":40,""max"":400,""lowers"":[0,40,80,120,160,200,240,280,320,400],""uppers"":[40,80,120,160,200,240,280,320,360,""infty""],""responses"":[0.91,0.75,0.61,0.56,0.29,0.19,0.14,0.11,0.12,0]}","{""buyer"":""Ann"",""item"":""laptop"",""stepLength"":560,""max"":5000,""lowers"":[0,560,1120,1680,2240,2800,3360,3920,4480,5000],""uppers"":[560,1120,1680,2240,2800,3360,3920,4480,5040,""infty""],""responses"":[0.82,0.55,0.39,0.09,0.01,0.02,0.01,0.02,0.02,0.04]}","{""response"":""125"",""item"":""headphones""}","{""response"":""275"",""item"":""sweater""}","{""response"":""1500"",""item"":""laptop""}","{""buyer"":""Caitlyn"",""item"":""coffee maker"",""stepLength"":40,""max"":400,""lowers"":[0,40,80,120,160,200,240,280,320,400],""uppers"":[40,80,120,160,200,240,280,320,360,""infty""],""responses"":[0.96,0.87,0.84,0.49,0.31,0.11,0.06,0.02,0.03,0.02]}","{""response"":""120"",""item"":""coffee maker""}","{""response"":""475"",""item"":""watch""}","""""","""26""",171546,"""girls""","""english"""
9,230KMN9U8P9YJ0T3C5931UYIPG0UDM,2AI9RA7S5WM1M1YZ4NY0SMHLANAZUC,Prices,How much do you think different kinds of household items cost?,experiment stanford fun prices psychology cognitive science linguistics university,$0.40,Wed Dec 04 05:01:54 PST 2013,40,1,1,38,Assignable,NotReviewed,1 cond,12000,99999,Tue Dec 24 05:01:54 PST 2013,https://requester.mturk.com/mturk/manageHIT?HITId=230KMN9U8P9YJ0T3C5931UYIPG0UDM,2U1RJ85OZIZEXEAH5UFOZ5EW17Z9X2,9,Approved,Thu Dec 05 09:01:49 PST 2013,Wed Dec 04 05:11:36 PST 2013,Wed Dec 04 05:15:10 PST 2013,Wed Dec 04 07:33:42 PST 2013,,,,,"{""buyer"":""Alan"",""item"":""headphones"",""stepLength"":30,""max"":300,""lowers"":[0,30,60,90,120,150,180,210,240,300],""uppers"":[30,60,90,120,150,180,210,240,270,""infty""],""responses"":[0.7,0.78,0.73,0.76,0.72,0.5,0.5,0.5,0.26,0.07]}","{""buyer"":""Evan"",""item"":""coffee maker"",""stepLength"":40,""max"":400,""lowers"":[0,40,80,120,160,200,240,280,320,400],""uppers"":[40,80,120,160,200,240,280,320,360,""infty""],""responses"":[0.69,0.72,0.69,0.65,0.72,0.5,0.5,0.25,0.27,0.02]}","{""buyer"":""Dan"",""item"":""sweater"",""stepLength"":40,""max"":400,""lowers"":[0,40,80,120,160,200,240,280,320,400],""uppers"":[40,80,120,160,200,240,280,320,360,""infty""],""responses"":[0.68,0.67,0.68,0.5,0.5,0.5,0.32,0.3,0.02,0.04]}","{""buyer"":""Calvin"",""item"":""laptop"",""stepLength"":560,""max"":5000,""lowers"":[0,560,1120,1680,2240,2800,3360,3920,4480,5000],""uppers"":[560,1120,1680,2240,2800,3360,3920,4480,5040,""infty""],""responses"":[0.73,0.63,0.5,0.31,0.31,0.02,0.02,0,0,0]}","{""response"":""1000"",""item"":""coffee maker""}","{""response"":""3000"",""item"":""sweater""}","{""response"":""4000"",""item"":""laptop""}","{""buyer"":""Bob"",""item"":""watch"",""stepLength"":60,""max"":500,""lowers"":[0,60,120,180,240,300,360,420,480,500],""uppers"":[60,120,180,240,300,360,420,480,540,""infty""],""responses"":[0.69,0.7,0.74,0.72,0.49,0.5,0.5,0.25,0.24,0]}","{""response"":""10000"",""item"":""watch""}","{""response"":""1000"",""item"":""headphones""}","""thank+you""","""39""",212556,"""boys""","""english"""
