"item","qtype","dollar_amount","N","response","bootsci_high","bootsci_low"
"coffee maker","concrete",24,30,-3.26666666666667,-2.83333333333333,-3.60083333333333
"coffee maker","concrete",52,30,-0.8,-0.166666666666667,-1.5
"coffee maker","concrete",84,30,1.16666666666667,1.83333333333333,0.5325
"coffee maker","concrete",124,30,2.26666666666667,2.76666666666667,1.7
"coffee maker","concrete",188,30,2.76666666666667,3.36666666666667,2.1
"coffee maker","inductive",2,30,2.3,3.16666666666667,1.3
"coffee maker","inductive",20,30,0.566666666666667,1.2,-0.134166666666667
"coffee maker","inductive",100,30,-1.53333333333333,-0.833333333333333,-2.2
"coffee maker","inductive",140,30,-0.6,0.334166666666666,-1.5
"coffee maker","inductive",200,30,-1.13333333333333,-0.266666666666667,-1.96666666666667
"headphones","concrete",24,30,-2.3,-1.7,-2.83333333333333
"headphones","concrete",60,30,0.9,1.7,0.133333333333333
"headphones","concrete",96,30,1.96666666666667,2.6,1.3
"headphones","concrete",144,30,2.43333333333333,3.03333333333333,1.76666666666667
"headphones","concrete",234,30,3.43333333333333,3.83333333333333,2.96666666666667
"headphones","inductive",2.58,30,2.33333333333333,3.2,1.26666666666667
"headphones","inductive",25.8,30,0.333333333333333,1.13416666666667,-0.433333333333333
"headphones","inductive",129,30,-1.6,-0.832500000000001,-2.33416666666667
"headphones","inductive",180.6,30,-1.13333333333333,-0.199166666666667,-2.03333333333333
"headphones","inductive",258,30,-1.43333333333333,-0.466666666666667,-2.36666666666667
"laptop","concrete",350,30,-1.93333333333333,-1.03333333333333,-2.66666666666667
"laptop","concrete",600,30,-0.266666666666667,0.6,-1.1
"laptop","concrete",900,30,1.2,1.90083333333333,0.333333333333333
"laptop","concrete",1250,30,2.16666666666667,2.83333333333333,1.46666666666667
"laptop","concrete",1850,30,2.53333333333333,3.30083333333333,1.53333333333333
"laptop","inductive",18.5,30,2.5,3.26666666666667,1.6
"laptop","inductive",185,30,0.6,1.3,-0.133333333333333
"laptop","inductive",925,30,-1.13333333333333,-0.133333333333333,-2.1
"laptop","inductive",1295,30,-1.43333333333333,-0.4,-2.30083333333333
"laptop","inductive",1850,30,-1.56666666666667,-0.631666666666668,-2.46666666666667
"sweater","concrete",18,30,-3.3,-2.8,-3.7
"sweater","concrete",36,30,-1.16666666666667,-0.4,-1.86666666666667
"sweater","concrete",57,30,0.466666666666667,1.13333333333333,-0.233333333333333
"sweater","concrete",87,30,1.93333333333333,2.5,1.33333333333333
"sweater","concrete",150,30,3,3.43333333333333,2.43333333333333
"sweater","inductive",1.71,30,2,3.13333333333333,0.899166666666667
"sweater","inductive",17.1,30,0.4,1.2,-0.433333333333333
"sweater","inductive",85.5,30,-1.06666666666667,-0.199166666666667,-1.9
"sweater","inductive",119.7,30,-1.2,-0.5,-1.93333333333333
"sweater","inductive",171,30,-0.7,0.366666666666667,-1.53333333333333
"watch","concrete",100,30,-0.1,0.633333333333333,-0.834166666666667
"watch","concrete",250,30,2.06666666666667,2.66666666666667,1.43333333333333
"watch","concrete",450,30,2.5,3.06666666666667,1.9
"watch","concrete",900,30,3.33333333333333,3.73333333333333,2.76666666666667
"watch","concrete",2000,30,3.63333333333333,3.9,3.23333333333333
"watch","inductive",24,30,0.966666666666667,1.73416666666667,0.133333333333333
"watch","inductive",240,30,-0.466666666666667,0.334166666666666,-1.23416666666667
"watch","inductive",1200,30,-0.9,0.1,-1.7675
"watch","inductive",1680,30,-1.03333333333333,-0.0333333333333333,-2
"watch","inductive",2400,30,-0.9,0.166666666666667,-1.86666666666667
